force,intelligence,agilite,chance,experience,niveau_quete,equipement,fatigue,survie
37.454011884736246,70.72386343133986,19.18673247187429,34.060416658129164,11.067423794995436,6.147962904552335,12.384602670581746,26.814322961192083,0
95.07143064099162,15.253904291426135,32.33715621155208,7.171188884765101,10.0626494510308,8.248890963699877,7.053563759295656,31.566848116406597,0
73.1993941811405,57.62883601668132,22.6656402226988,40.9628894895232,3.8772613587378535,7.841448368111431,90.94295036858765,12.525123109620795,1
59.86584841970366,60.67150463828559,35.49963058319373,31.12174950633936,17.176335423363092,2.385099142243963,19.01287663187057,65.55099718461126,0
15.601864044243651,42.4130671302386,6.942384274609337,67.71206397350093,13.538815659936747,2.343245227673265,82.12501545597043,3.979712733565255,0
15.599452033620265,73.64442356247228,51.90597909082704,60.57792494526903,16.758167497036073,3.41356930970422,54.46308711071358,59.768233552345905,1
5.8083612168199465,93.43670147690149,6.76125635922149,36.459372819754,17.175285586989443,4.249672537069335,7.78565196087696,86.96958848516338,0
86.61761457749351,92.55685129067763,80.03565078223616,21.78925542549901,14.967117073314796,4.676100232676344,95.54481914380675,89.08321482896335,1
60.11150117432088,45.08393714041321,23.3712081910433,98.80359661555919,8.784212024994346,7.117274951500107,24.696116699189254,44.90377603699617,0
70.80725777960456,11.323804584075525,54.00119146045106,45.40016211961149,12.210935100308491,1.5101238894925186,85.96453453526065,45.930368821307376,0
2.0584494295802447,98.48411989623345,88.00790875614582,68.82742357802371,3.207308122394863,1.3120543380345975,16.88100057845642,7.696918300801736,1
96.99098521619943,83.88980864459342,65.08773690471942,14.055296757836079,13.472908349498153,4.527195066495182,85.39428821418528,67.07650254430358,1
83.24426408004217,12.466268120326685,53.29577865513353,48.55896996593978,3.585065114785615,7.274473229241824,1.3228812905293985,82.12594203728455,0
21.233911067827616,92.08418826173724,32.43337531153756,2.7536719869465487,13.878991810203136,2.7409180866083434,51.178045656948065,24.465505460471306,0
18.182496720710063,86.98963620621282,33.300191305819794,50.545511791044994,4.591963215079373,6.773540331306266,76.94425794215569,42.13008816333647,1
18.34045098534338,51.88380571260721,66.94869551981901,96.40174071177023,2.3510260030043995,3.338453241462695,93.47955174927833,83.88393367652704,1
30.42422429595377,59.127543574492925,99.41393612211675,38.420671298580025,3.3056898028591486,8.974774979321648,90.92021362064871,87.7120467662288,1
52.475643163223786,39.90027038701302,66.18391898493786,3.8996012574911587,0.03984270438140536,9.061209498399549,81.96248695476449,24.317998026422593,1
43.194501864211574,5.476163882203133,55.77834173700249,3.095579091934353,14.374792357070605,3.6755848385319383,88.8191349661304,55.057063454136426,0
29.122914019804192,33.519724164590095,73.06505102392461,38.798675994686946,14.648020981167582,3.0699437856691647,19.92196858370765,19.249315063582706,1
61.18528947223795,80.28534485980114,46.52056122837182,16.002493646319405,10.298666998265189,4.701735748596081,28.418429571172876,10.187876413955655,0
13.949386065204184,0.4632023004602859,6.0142342600785215,2.335209632818591,3.227256021107674,3.1647842666213384,28.89685249210585,91.11205013919576,0
29.214464853521815,33.34991716911442,56.22968158779098,75.62136139501769,1.671086750213795,7.051454589625333,37.70539310016988,82.05075042321091,0
36.63618432936917,39.81686935909433,95.76252845053801,45.85230088818907,0.3825793287457402,8.43458216093457,39.33206703851887,76.00349018031739,0
